vulnerability_type,code,processed_code,language,target
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Clear,"#include <iostream>
#include <vector>
#include <stdexcept>

int safe_vector_access(const std::vector<int>& vec, size_t index) {
    if (index >= vec.size()) {
        throw std::out_of_range(""Index out of range"");
    }
    return vec[index];
}","#include <iostream>
#include <vector>
#include <stdexcept>

int safe_vector_access(const std::vector<int>& vec, size_t index) {
    if (index >= vec.size()) {
        throw std::out_of_range(""Index out of range"");
    }
    return vec[index];
}",cpp,0
Clear,"import pickle
def safe_deserialize(data):
    allowed_classes = {'SafeClass', 'AnotherSafeClass'}
    return pickle.loads(data)","import pickle
def safe_deserialize(data):
    allowed_classes = {'SafeClass', 'AnotherSafeClass'}
    return pickle.loads(data)",python,0
Hardcoded Secrets,"localStorage.setItem('token', 'hardcoded-secret-token-123'); // Hardcoded secret
","localStorage.setItem('token', 'hardcoded-secret-token-123'); // Hardcoded secret
",javascript,1
Clear,"def safe_comment_display(comment_text):
    import html
    escaped_text = html.escape(comment_text)
    return f""<div class='comment'>{escaped_text}</div>"" ","def safe_comment_display(comment_text):
    import html
    escaped_text = html.escape(comment_text)
    return f""<div class='comment'>{escaped_text}</div>"" ",python,0
Clear,"#include <stdio.h>
#include <stdlib.h>

void safe_file_operation(const char *filename) {
    FILE *file = fopen(filename, ""r"");
    if (file != NULL) {
        char buffer[256];
        while (fgets(buffer, sizeof(buffer), file)) {
            printf(""%s"", buffer);
        }
        fclose(file);
    }
}","#include <stdio.h>
#include <stdlib.h>

void safe_file_operation(const char *filename) {
    FILE *file = fopen(filename, ""r"");
    if (file != NULL) {
        char buffer[256];
        while (fgets(buffer, sizeof(buffer), file)) {
            printf(""%s"", buffer);
        }
        fclose(file);
    }
}",c,0
SQL Injection,"app.get('/user/:id', (req, res) => {
    const query = `SELECT * FROM users WHERE id = ${req.params.id}`; // SQL Injection
    db.query(query, (err, result) => {
        res.json(result);
    });
});
","app.get('/user/:id', (req, res) => {
    const query = `SELECT * FROM users WHERE id = ${req.params.id}`; // SQL Injection
    db.query(query, (err, result) => {
        res.json(result);
    });
});
",javascript,1
Clear,"To fix the Command Injection vulnerability in the provided Java code snippet, you need to ensure that user input is properly validated and sanitized before being passed to the `Runtime.exec()` method. Here's an improved version of the code that incorporates security measures to prevent command injection:

```java
import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class SecureCommandExecution {

    public static void main(String[] args) throws IOException {
        BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));

        System.out.print(""Enter a command to execute: "");
        String userInput = reader.readLine();

        // Validate user input to prevent command injection
        if (!isValidCommand(userInput)) {
            System.out.println(""Invalid command. Aborting execution."");
            return;
        }

        // Execute the validated command securely
        Process process = Runtime.getRuntime().exec(new String[] { ""/bin/sh"", ""-c"", userInput });

        BufferedReader inputReader = new BufferedReader(new InputStreamReader(process.getInputStream()));
        String line;

        while ((line = inputReader.readLine()) != null) {
            System.out.println(line);
        }

        process.waitFor();
    }

    private static boolean isValidCommand(String command) {
        // Add your custom validation logic here based on your application requirements","To fix the Command Injection vulnerability in the provided Java code snippet, you need to ensure that user input is properly validated and sanitized before being passed to the `Runtime.exec()` method. Here's an improved version of the code that incorporates security measures to prevent command injection: ```java import java.io.BufferedReader; import java.io.IOException; import java.io.InputStreamReader; public class SecureCommandExecution { public static void main(String[] args) throws IOException { BufferedReader reader = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter a command to execute: ""); String userInput = reader.readLine(); // Validate user input to prevent command injection if (!isValidCommand(userInput)) { System.out.println(""Invalid command. Aborting execution.""); return; } // Execute the validated command securely Process process = Runtime.getRuntime().exec(new String[] { ""/bin/sh"", ""-c"", userInput }); BufferedReader inputReader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = inputReader.readLine()) != null) { System.out.println(line); } process.waitFor(); } private static boolean isValidCommand(String command) { // Add your custom validation logic here based on your application requirements",java,0
Clear,"import java.io.*;

public class CommandInjectionDemo {

    public static void main(String[] args) {
        try {
            BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
            System.out.print(""Enter a command to execute: "");
            String command = reader.readLine();

            ProcessBuilder processBuilder = new ProcessBuilder();
            processBuilder.command(""ping"", command);
            
            Process process = processBuilder.start();

            BufferedReader inputStreamReader = new BufferedReader(new InputStreamReader(process.getInputStream()));
            String line;
            while ((line = inputStreamReader.readLine()) != null) {
                System.out.println(line);
            }

        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","import java.io.*; public class CommandInjectionDemo { public static void main(String[] args) { try { BufferedReader reader = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter a command to execute: ""); String command = reader.readLine(); ProcessBuilder processBuilder = new ProcessBuilder(); processBuilder.command(""ping"", command); Process process = processBuilder.start(); BufferedReader inputStreamReader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = inputStreamReader.readLine()) != null) { System.out.println(line); } } catch (IOException e) { e.printStackTrace(); } } }",java,0
Buffer Overflow,"#include <iostream>
#include <cstring>

void unsafe_c_string(char* input) {
    char buffer[100];
    strcpy(buffer, input); // potential buffer overflow
    std::cout << buffer << std::endl;
}","#include <iostream>
#include <cstring>

void unsafe_c_string(char* input) {
    char buffer[100];
    strcpy(buffer, input); // potential buffer overflow
    std::cout << buffer << std::endl;
}",cpp,1
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Clear,"#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}","#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}",cpp,0
Insecure Deserialization,"import yaml
def load_config(config_str):
    return yaml.load(config_str, Loader=yaml.Loader)","import yaml
def load_config(config_str):
    return yaml.load(config_str, Loader=yaml.Loader)",python,1
Clear,"app.get('/user/:id', (req, res) => {
    const userId = parseInt(req.params.id);
    db.query('SELECT * FROM users WHERE id = ?', [userId], (err, result) => {
        res.json(result);
    });
});
","app.get('/user/:id', (req, res) => {
    const userId = parseInt(req.params.id);
    db.query('SELECT * FROM users WHERE id = ?', [userId], (err, result) => {
        res.json(result);
    });
});
",javascript,0
Clear,"import java.io.*;
import javax.servlet.*;
import javax.servlet.http.*;

import org.owasp.encoder.Encode;

public class XSSSafeServlet extends HttpServlet {
    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {
        String userInput = request.getParameter(""input"");
        String safeUserInput = Encode.forHtml(userInput);
        
        String htmlResponse = ""<html><body>User input: "" + safeUserInput + ""</body></html>"";
        
        response.setContentType(""text/html"");
        PrintWriter out = response.getWriter();
        out.println(htmlResponse);
    }
}","import java.io.*; import javax.servlet.*; import javax.servlet.http.*; import org.owasp.encoder.Encode; public class XSSSafeServlet extends HttpServlet { protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException { String userInput = request.getParameter(""input""); String safeUserInput = Encode.forHtml(userInput); String htmlResponse = ""<html><body>User input: "" + safeUserInput + ""</body></html>""; response.setContentType(""text/html""); PrintWriter out = response.getWriter(); out.println(htmlResponse); } }",java,0
File Inclusion,"<?php
$file = $_GET['file'];
include($file); // File Inclusion
?>","<?php
$file = $_GET['file'];
include($file); // File Inclusion
?>",php,1
Code Injection,"const userData = eval('(' + userInput + ')'); // eval injection
","const userData = eval('(' + userInput + ')'); // eval injection
",javascript,1
SQL Injection,"import java.sql.*;

public class SQLInjectionVulnerability {

    public static void main(String[] args) {
        String userInput = ""'; DROP TABLE users; --"";
        
        try {
            Connection conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydatabase"", ""username"", ""password"");
            Statement stmt = conn.createStatement();
            
            String query = ""SELECT * FROM users WHERE username='"" + userInput + ""'"";
            ResultSet rs = stmt.executeQuery(query);
            
            while (rs.next()) {
                System.out.println(""User ID: "" + rs.getInt(""id"") + "", Username: "" + rs.getString(""username""));
            }
            
            conn.close();
        } catch (SQLException e) {
            e.printStackTrace();
        }
    }
}","import java.sql.*; public class SQLInjectionVulnerability { public static void main(String[] args) { String userInput = ""'; DROP TABLE users; --""; try { Connection conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydatabase"", ""username"", ""password""); Statement stmt = conn.createStatement(); String query = ""SELECT * FROM users WHERE username='"" + userInput + ""'""; ResultSet rs = stmt.executeQuery(query); while (rs.next()) { System.out.println(""User ID: "" + rs.getInt(""id"") + "", Username: "" + rs.getString(""username"")); } conn.close(); } catch (SQLException e) { e.printStackTrace(); } } }",java,1
Buffer Overflow,"#include <iostream>
#include <cstdio>

void unsafe_c_input() {
    char buffer[50];
    scanf(""%s"", buffer); // no length limit
    std::cout << buffer << std::endl;
}","#include <iostream>
#include <cstdio>

void unsafe_c_input() {
    char buffer[50];
    scanf(""%s"", buffer); // no length limit
    std::cout << buffer << std::endl;
}",cpp,1
Clear,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class CommandInjectionFixed {
    public static void main(String[] args) throws IOException {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));

        System.out.print(""Enter a command to execute: "");
        String command = br.readLine();

        // Safer code using ProcessBuilder
        ProcessBuilder processBuilder = new ProcessBuilder(command.split("" ""));
        Process process = processBuilder.start();

        // Read output from the process if needed
        BufferedReader reader =
                new BufferedReader(new InputStreamReader(process.getInputStream()));
        String line;
        while ((line = reader.readLine()) != null) {
            System.out.println(line);
        }

        System.out.println(""Command executed successfully."");
    }
}","import java.io.BufferedReader; import java.io.IOException; import java.io.InputStreamReader; public class CommandInjectionFixed { public static void main(String[] args) throws IOException { BufferedReader br = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter a command to execute: ""); String command = br.readLine(); // Safer code using ProcessBuilder ProcessBuilder processBuilder = new ProcessBuilder(command.split("" "")); Process process = processBuilder.start(); // Read output from the process if needed BufferedReader reader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = reader.readLine()) != null) { System.out.println(line); } System.out.println(""Command executed successfully.""); } }",java,0
Clear,"import org.owasp.esapi.ESAPI;
import org.owasp.esapi.codecs.HTMLEntityCodec;

public class XSSSecureCode {

    public static void main(String[] args) {
        // Simulating user input
        String userInput = ""<script>alert('XSS attack!')</script>"";

        // Properly encode user input using OWASP ESAPI library
        HTMLEntityCodec codec = new HTMLEntityCodec();
        String encodedUserInput = codec.encodeForHTML(userInput);

        // Print the properly encoded user input
        System.out.println(""Welcome, "" + encodedUserInput);
    }
}","import org.owasp.esapi.ESAPI; import org.owasp.esapi.codecs.HTMLEntityCodec; public class XSSSecureCode { public static void main(String[] args) { // Simulating user input String userInput = ""<script>alert('XSS attack!')</script>""; // Properly encode user input using OWASP ESAPI library HTMLEntityCodec codec = new HTMLEntityCodec(); String encodedUserInput = codec.encodeForHTML(userInput); // Print the properly encoded user input System.out.println(""Welcome, "" + encodedUserInput); } }",java,0
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Clear,"const shell = require('child_process');
const safeInput = userInput.replace(/[^a-zA-Z0-9.]/g, '');
shell.execFile('ping', [safeInput]); // Safe command execution
","const shell = require('child_process');
const safeInput = userInput.replace(/[^a-zA-Z0-9.]/g, '');
shell.execFile('ping', [safeInput]); // Safe command execution
",javascript,0
Clear,"#include <stdio.h>
#include <stdlib.h>

void safe_file_operation(const char *filename) {
    FILE *file = fopen(filename, ""r"");
    if (file != NULL) {
        char buffer[256];
        while (fgets(buffer, sizeof(buffer), file)) {
            printf(""%s"", buffer);
        }
        fclose(file);
    }
}","#include <stdio.h>
#include <stdlib.h>

void safe_file_operation(const char *filename) {
    FILE *file = fopen(filename, ""r"");
    if (file != NULL) {
        char buffer[256];
        while (fgets(buffer, sizeof(buffer), file)) {
            printf(""%s"", buffer);
        }
        fclose(file);
    }
}",c,0
Clear,"#include <iostream>
#include <vector>
#include <stdexcept>

int safe_vector_access(const std::vector<int>& vec, size_t index) {
    if (index >= vec.size()) {
        throw std::out_of_range(""Index out of range"");
    }
    return vec[index];
}","#include <iostream>
#include <vector>
#include <stdexcept>

int safe_vector_access(const std::vector<int>& vec, size_t index) {
    if (index >= vec.size()) {
        throw std::out_of_range(""Index out of range"");
    }
    return vec[index];
}",cpp,0
Clear,"To fix the Path Traversal vulnerability in the provided Java code snippet, you can implement the following secure code generation practices:

1. Validate User Input: 
Ensure that the user input (file name) does not contain any malicious characters or sequences that could lead to path traversal attacks. You can restrict the input to alphanumeric characters and certain safe symbols.

2. Sanitize File Paths:
Instead of directly concatenating the directory path and user-provided file name, use methods like `Paths.get(directory, fileName).toAbsolutePath().normalize()` to construct the file path safely. This will resolve any relative paths and eliminate any potential traversal vulnerabilities.

3. Check File Existence:
Before attempting to read the file, check if the file actually exists at the specified path using `file.exists()`. This helps prevent errors when trying to access non-existent files.

4. Use Whitelisting:
If possible, maintain a whitelist of allowed file names or directories that users are allowed to access. Validate user input against this whitelist before proceeding with file operations.

5. Handle Exceptions Appropriately:
Catch specific exceptions like `FileNotFoundException` along with `SecurityException` in addition to `IOException` for better error handling. Log only generic error messages without exposing sensitive information.

Here's an","To fix the Path Traversal vulnerability in the provided Java code snippet, you can implement the following secure code generation practices: 1. Validate User Input: Ensure that the user input (file name) does not contain any malicious characters or sequences that could lead to path traversal attacks. You can restrict the input to alphanumeric characters and certain safe symbols. 2. Sanitize File Paths: Instead of directly concatenating the directory path and user-provided file name, use methods like `Paths.get(directory, fileName).toAbsolutePath().normalize()` to construct the file path safely. This will resolve any relative paths and eliminate any potential traversal vulnerabilities. 3. Check File Existence: Before attempting to read the file, check if the file actually exists at the specified path using `file.exists()`. This helps prevent errors when trying to access non-existent files. 4. Use Whitelisting: If possible, maintain a whitelist of allowed file names or directories that users are allowed to access. Validate user input against this whitelist before proceeding with file operations. 5. Handle Exceptions Appropriately: Catch specific exceptions like `FileNotFoundException` along with `SecurityException` in addition to `IOException` for better error handling. Log only generic error messages without exposing sensitive information. Here's an",php,0
Command Injection,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class CommandInjectionVulnerable {
    public static void main(String[] args) throws IOException {
        BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
        
        System.out.print(""Enter a command to execute: "");
        String userInput = reader.readLine();
        
        String command = ""echo "" + userInput; // Vulnerable code, user input is directly concatenated into the command
        
        Process process = Runtime.getRuntime().exec(command);
        
        BufferedReader outputReader = new BufferedReader(new InputStreamReader(process.getInputStream()));
        String outputLine;
        
        while ((outputLine = outputReader.readLine()) != null) {
            System.out.println(outputLine);
        }
    }
}","import java.io.BufferedReader; import java.io.IOException; import java.io.InputStreamReader; public class CommandInjectionVulnerable { public static void main(String[] args) throws IOException { BufferedReader reader = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter a command to execute: ""); String userInput = reader.readLine(); String command = ""echo "" + userInput; // Vulnerable code, user input is directly concatenated into the command Process process = Runtime.getRuntime().exec(command); BufferedReader outputReader = new BufferedReader(new InputStreamReader(process.getInputStream())); String outputLine; while ((outputLine = outputReader.readLine()) != null) { System.out.println(outputLine); } } }",java,1
Clear,"import json
def parse_safe_json(json_str):
    try:
        return json.loads(json_str)
    except json.JSONDecodeError:
        raise ValueError(""Invalid JSON"")","import json
def parse_safe_json(json_str):
    try:
        return json.loads(json_str)
    except json.JSONDecodeError:
        raise ValueError(""Invalid JSON"")",python,0
Clear,"#include <stdio.h>
#include <stdlib.h>

void safe_file_operation(const char *filename) {
    FILE *file = fopen(filename, ""r"");
    if (file != NULL) {
        char buffer[256];
        while (fgets(buffer, sizeof(buffer), file)) {
            printf(""%s"", buffer);
        }
        fclose(file);
    }
}","#include <stdio.h>
#include <stdlib.h>

void safe_file_operation(const char *filename) {
    FILE *file = fopen(filename, ""r"");
    if (file != NULL) {
        char buffer[256];
        while (fgets(buffer, sizeof(buffer), file)) {
            printf(""%s"", buffer);
        }
        fclose(file);
    }
}",c,0
Clear,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class SecureCommandExecution {

    public static void main(String[] args) {
        try {
            BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
            System.out.print(""Enter a command to execute: "");
            String command = reader.readLine();

            // Sanitize the input by splitting it into arguments
            String[] commandArgs = command.split(""\\s+"");

            // Build the process with sanitized input
            ProcessBuilder processBuilder = new ProcessBuilder(commandArgs);
            
            Process process = processBuilder.start();
            
            BufferedReader inputStreamReader = new BufferedReader(new InputStreamReader(process.getInputStream()));

            String line;
            while ((line = inputStreamReader.readLine()) != null) {
                System.out.println(line);
            }

        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","import java.io.BufferedReader; import java.io.IOException; import java.io.InputStreamReader; public class SecureCommandExecution { public static void main(String[] args) { try { BufferedReader reader = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter a command to execute: ""); String command = reader.readLine(); // Sanitize the input by splitting it into arguments String[] commandArgs = command.split(""\\s+""); // Build the process with sanitized input ProcessBuilder processBuilder = new ProcessBuilder(commandArgs); Process process = processBuilder.start(); BufferedReader inputStreamReader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = inputStreamReader.readLine()) != null) { System.out.println(line); } } catch (IOException e) { e.printStackTrace(); } } }",java,0
Clear,"To fix the Path Traversal vulnerability in the provided Java code snippet, you need to ensure that the user input does not allow directory traversal beyond the intended base path. One way to achieve this is by validating and sanitizing the user input before constructing the full path.

Here is an improved version of the code with proper security measures:

```java
import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;
import java.nio.file.Paths;

public class SecurePathTraversal {

    public static void main(String[] args) {
        String userInput = ""../../../../../etc/passwd"";
        String basePath = ""/path/to/files/"";

        // Use Paths.get() to normalize and resolve the paths
        String fullPath = Paths.get(basePath, userInput).normalize().toString();

        // Ensure that the normalized fullPath still starts with basePath
        if (!fullPath.startsWith(basePath)) {
            System.out.println(""Invalid path traversal attempt detected."");
            return;
        }

        try {
            File file = new File(fullPath);
            FileInputStream fis = new FileInputStream(file);

            int data;
            while ((data = fis.read()) != -1) {
                System.out.print((char) data);
            }

            fis.close();
        } catch (IOException e)","To fix the Path Traversal vulnerability in the provided Java code snippet, you need to ensure that the user input does not allow directory traversal beyond the intended base path. One way to achieve this is by validating and sanitizing the user input before constructing the full path. Here is an improved version of the code with proper security measures: ```java import java.io.File; import java.io.FileInputStream; import java.io.IOException; import java.nio.file.Paths; public class SecurePathTraversal { public static void main(String[] args) { String userInput = ""../../../../../etc/passwd""; String basePath = ""/path/to/files/""; // Use Paths.get() to normalize and resolve the paths String fullPath = Paths.get(basePath, userInput).normalize().toString(); // Ensure that the normalized fullPath still starts with basePath if (!fullPath.startsWith(basePath)) { System.out.println(""Invalid path traversal attempt detected.""); return; } try { File file = new File(fullPath); FileInputStream fis = new FileInputStream(file); int data; while ((data = fis.read()) != -1) { System.out.print((char) data); } fis.close(); } catch (IOException e)",java,0
Clear,"const userData = JSON.parse(userInput); // Safe JSON parsing
if (userData && typeof userData === 'object') {
    processUserData(userData);
}
","const userData = JSON.parse(userInput); // Safe JSON parsing
if (userData && typeof userData === 'object') {
    processUserData(userData);
}
",javascript,0
SQL Injection,"<?php
$username = $_POST['username'];
$query = ""SELECT * FROM users WHERE username = '$username'"";
$result = mysql_query($query); // SQL Injection
?>","<?php
$username = $_POST['username'];
$query = ""SELECT * FROM users WHERE username = '$username'"";
$result = mysql_query($query); // SQL Injection
?>",php,1
Clear,"#include <stdio.h>
#include <stdlib.h>

int safe_string_to_int(const char *str) {
    char *endptr;
    long value = strtol(str, &endptr, 10);
    if (*endptr != '\0' || str == endptr) {
        return -1; // error
    }
    return (int)value;
}","#include <stdio.h>
#include <stdlib.h>

int safe_string_to_int(const char *str) {
    char *endptr;
    long value = strtol(str, &endptr, 10);
    if (*endptr != '\0' || str == endptr) {
        return -1; // error
    }
    return (int)value;
}",c,0
SQL Injection,"import psycopg2
def admin_login(admin_id):
    conn = psycopg2.connect(""dbname=test user=postgres"")
    cur = conn.cursor()
    cur.execute(f""SELECT * FROM admins WHERE id = {admin_id}"")
    return cur.fetchone()","import psycopg2
def admin_login(admin_id):
    conn = psycopg2.connect(""dbname=test user=postgres"")
    cur = conn.cursor()
    cur.execute(f""SELECT * FROM admins WHERE id = {admin_id}"")
    return cur.fetchone()",python,1
Clear,"#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}","#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}",cpp,0
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Memory Corruption,"#include <iostream>

void unsafe_pointer_arithmetic(int* array, int size) {
    for (int i = 0; i <= size; i++) {
        std::cout << *(array + i) << std::endl; // potential out-of-bounds
    }
}","#include <iostream>

void unsafe_pointer_arithmetic(int* array, int size) {
    for (int i = 0; i <= size; i++) {
        std::cout << *(array + i) << std::endl; // potential out-of-bounds
    }
}",cpp,1
Clear,"#include <iostream>
#include <sstream>

int safe_string_to_int(const std::string& str) {
    std::stringstream ss(str);
    int value;
    if (ss >> value) {
        return value;
    }
    throw std::invalid_argument(""Invalid integer"");
}","#include <iostream>
#include <sstream>

int safe_string_to_int(const std::string& str) {
    std::stringstream ss(str);
    int value;
    if (ss >> value) {
        return value;
    }
    throw std::invalid_argument(""Invalid integer"");
}",cpp,0
Clear,"#include <iostream>
#include <fstream>
#include <string>

void safe_file_reading(const std::string& filename) {
    std::ifstream file(filename);
    if (file.is_open()) {
        std::string line;
        while (std::getline(file, line)) {
            std::cout << line << std::endl;
        }
    }
}","#include <iostream>
#include <fstream>
#include <string>

void safe_file_reading(const std::string& filename) {
    std::ifstream file(filename);
    if (file.is_open()) {
        std::string line;
        while (std::getline(file, line)) {
            std::cout << line << std::endl;
        }
    }
}",cpp,0
Command Injection,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class CommandInjectionExample {
    public static void main(String[] args) {
        try {
            // Prompt user for input
            System.out.print(""Enter a hostname to ping: "");
            BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
            String hostname = reader.readLine();

            // Construct and execute the command
            String command = ""ping -c 4 "" + hostname;
            Process process = Runtime.getRuntime().exec(command);

            // Read and display the output of the command
            BufferedReader inputReader = new BufferedReader(new InputStreamReader(process.getInputStream()));
            String line;
            while ((line = inputReader.readLine()) != null) {
                System.out.println(line);
            }
            
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","import java.io.BufferedReader; import java.io.IOException; import java.io.InputStreamReader; public class CommandInjectionExample { public static void main(String[] args) { try { // Prompt user for input System.out.print(""Enter a hostname to ping: ""); BufferedReader reader = new BufferedReader(new InputStreamReader(System.in)); String hostname = reader.readLine(); // Construct and execute the command String command = ""ping -c 4 "" + hostname; Process process = Runtime.getRuntime().exec(command); // Read and display the output of the command BufferedReader inputReader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = inputReader.readLine()) != null) { System.out.println(line); } } catch (IOException e) { e.printStackTrace(); } } }",java,1
Clear,"#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}","#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}",cpp,0
SQL Injection,"import psycopg2
def admin_login(admin_id):
    conn = psycopg2.connect(""dbname=test user=postgres"")
    cur = conn.cursor()
    cur.execute(f""SELECT * FROM admins WHERE id = {admin_id}"")
    return cur.fetchone()","import psycopg2
def admin_login(admin_id):
    conn = psycopg2.connect(""dbname=test user=postgres"")
    cur = conn.cursor()
    cur.execute(f""SELECT * FROM admins WHERE id = {admin_id}"")
    return cur.fetchone()",python,1
Clear,"import tempfile
import os

def create_secure_temp(data):
    with tempfile.NamedTemporaryFile(mode='w', delete=True, suffix='.tmp') as temp:
        temp.write(data)
        temp.flush()
        return temp.name","import tempfile
import os

def create_secure_temp(data):
    with tempfile.NamedTemporaryFile(mode='w', delete=True, suffix='.tmp') as temp:
        temp.write(data)
        temp.flush()
        return temp.name",python,0
Clear,"To fix the Path Traversal vulnerability in the provided Java code snippet, you need to ensure that the user input for the file name does not allow directory traversal. One way to achieve this is by validating the input against a whitelist of allowed characters and rejecting any input that contains directory traversal characters.

Here's an improved version of the code with proper security measures:

```java
import java.io.File;
import java.io.IOException;
import java.nio.file.Files;
import java.nio.file.Paths;
import java.util.Scanner;

public class SecurePathTraversal {

    private static final String BASE_PATH = ""C:\\Users\\Documents\\"";

    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter file name: "");
        String fileName = scanner.nextLine();

        if (!isValidFileName(fileName)) {
            System.out.println(""Invalid file name."");
            return;
        }

        try {
            File file = new File(BASE_PATH + fileName);
            byte[] fileContent = Files.readAllBytes(Paths.get(file.toURI()));
            String content = new String(fileContent);
            System.out.println(""File content: "" + content);
        } catch (IOException e) {
            System.out.println(""Error reading file:","To fix the Path Traversal vulnerability in the provided Java code snippet, you need to ensure that the user input for the file name does not allow directory traversal. One way to achieve this is by validating the input against a whitelist of allowed characters and rejecting any input that contains directory traversal characters. Here's an improved version of the code with proper security measures: ```java import java.io.File; import java.io.IOException; import java.nio.file.Files; import java.nio.file.Paths; import java.util.Scanner; public class SecurePathTraversal { private static final String BASE_PATH = ""C:\\Users\\Documents\\""; public static void main(String[] args) { Scanner scanner = new Scanner(System.in); System.out.print(""Enter file name: ""); String fileName = scanner.nextLine(); if (!isValidFileName(fileName)) { System.out.println(""Invalid file name.""); return; } try { File file = new File(BASE_PATH + fileName); byte[] fileContent = Files.readAllBytes(Paths.get(file.toURI())); String content = new String(fileContent); System.out.println(""File content: "" + content); } catch (IOException e) { System.out.println(""Error reading file:",java,0
Memory Corruption,"#include <iostream>

void unsafe_virtual_call() {
    // Potential vtable corruption vulnerability
    class Base {
    public:
        virtual void func() { std::cout << ""Base"" << std::endl; }
    };
    
    class Derived : public Base {
    public:
        void func() override { std::cout << ""Derived"" << std::endl; }
    };
}","#include <iostream>

void unsafe_virtual_call() {
    // Potential vtable corruption vulnerability
    class Base {
    public:
        virtual void func() { std::cout << ""Base"" << std::endl; }
    };
    
    class Derived : public Base {
    public:
        void func() override { std::cout << ""Derived"" << std::endl; }
    };
}",cpp,1
Clear,"import re
def validate_email(email):
    pattern = r'^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'
    return bool(re.match(pattern, email))","import re
def validate_email(email):
    pattern = r'^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'
    return bool(re.match(pattern, email))",python,0
Clear,"def safe_comment_display(comment_text):
    import html
    escaped_text = html.escape(comment_text)
    return f""<div class='comment'>{escaped_text}</div>"" ","def safe_comment_display(comment_text):
    import html
    escaped_text = html.escape(comment_text)
    return f""<div class='comment'>{escaped_text}</div>"" ",python,0
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
